//python内置函数
id()               用于获取对象的内存地址
abs()              返回数字的绝对值
sum()              求和
min()              判断最小值
max()              判断最大值
int()              将一个字符串或者数字转换为整型
str()              将对象转化为适于人阅读的形式
ord()              以一个字符（长度为1的字符串）作为参数，返回对应的 ASCII 数值，或者 Unicode 数值
chr()              用一个范围在 range（256）内的（就是0～255）整数作参数，返回一个对应的字符
any()              判断给定的可迭代参数 iterable 是否全部为空对象，如果都为空、0、false，则返回 False
all()              判断给定的可迭代参数 iterable 中的所有元素是否不为 0、''、False 或者 iterable 为空
pow()              返回 xy（x的y次方） 的值，math模块下的方法
bin()              返回一个整数 int 或者长整数 long int 的二进制表示
len()              返回对象（字符、列表、元组等）长度或项目个数
map()              根据提供的函数对指定序列做映射
zip()              用于将可迭代的对象作为参数，将对象中对应的元素打包成一个个元组，然后返回由这些元组组成的列表
set()              创建一个无序不重复元素集，可进行关系测试，删除重复数据，还可以计算交集、差集、并集等
hex()              用于将10进制整数转换成16进制，以字符串形式表示
dir()              不带参数时，返回当前范围内的变量、方法和定义的类型列表；带参数时，返回参数的属性、方法列表。
oct()              将一个整数转换成8进制字符串
open()             用于打开一个文件，创建一个 file 对象，相关的方法才可以调用它进行读写
file()             用于创建一个 file 对象，它有一个别名叫 open()，更形象一些，它们是内置函数。参数是以字符串的形式传递的
eval()             用来执行一个字符串表达式，并返回表达式的值
iter()             用来生成迭代器
next()             返回迭代器的下一个项目
bool()             用于将给定参数转换为布尔类型，如果没有参数，返回 False
type()             如果你只有第一个参数则返回对象的类型，三个参数返回新的类型对象
list()             用于将元组转换为列表
long()             将数字或字符串转换为一个长整型
vars()             返回对象object的属性和属性值的字典对象
repr()             将对象转化为供解释器读取的形式
hash()             用于获取取一个对象（字符串或者数值等）的哈希值。
help()             用于查看函数或模块用途的详细说明
dict()             用于创建一个字典
input()            接受一个标准输入数据，返回为 string 类型
print()            用于打印输出，最常见的一个函数
super()            用于调用父类(超类)的一个方法
tuple()            将列表转换为元组
range()            可创建一个整数列表，一般用在 for 循环中。
float()            用于将整数和字符串转换成浮点数
round()            返回浮点数x的四舍五入值
slice()            实现切片对象，主要用在切片操作函数里的参数传递
xrange()           用法与 range 完全相同，所不同的是生成的不是一个数组，而是一个生成器
divmod()           把除数和余数运算结果结合起来，返回一个包含商和余数的元组(a // b, a % b)
filter()           用于过滤序列，过滤掉不符合条件的元素，返回由符合条件元素组成的新列表
unichr()           返回 unicode 的字符
format()           格式化函数
locals()           会以字典类型返回当前位置的全部局部变量
reduce()           会对参数序列中元素进行累积
reload()           用于重新载入之前载入的模块
object()           新式类
sorted()           对所有可迭代的对象进行排序操作
unicode()          编码格式，一般写作"unicode=utf-8"
getattr()          用于返回一个对象属性值
globals()          会以字典类型返回当前位置的全部全局变量
reverse()          用于反回列表中元素
compile()          将一个字符串编译为字节代码
hasattr()          用于判断对象是否包含对应的属性
complex()          用于创建一个值为 real + imag * j 的复数或者转化一个字符串或数为复数。如果第一个参数为字符串，则不需要指定第二个参数
delattr()          用于删除属性
setattr()          对应函数 getatt()，用于设置属性值，该属性必须存在
execfile()         可以用来执行一个文件
property()         在新式类中返回属性值
callable()         用于检查一个对象是否是可调用的。如果返回True，object仍然可能调用失败；但如果返回False，调用对象ojbect绝对不会成功
enumerate()        用于将一个可遍历的数据对象(如列表、元组或字符串)组合为一个索引序列，同时列出数据和数据下标，一般用在 for 循环当中
bytearray()        返回一个新字节数组。这个数组里的元素是可变的，并且每个元素的值范围: 0 <= x < 256
raw_input()        用来获取控制台的输入
frozenset()        返回一个冻结的集合，冻结后集合不能再添加或删除任何元素
isinstance()       判断一个对象是否是一个已知的类型，类似 type()
issubclass()       用于判断参数 class 是否是类型参数 classinfo 的子类
basestring()       str 和 unicode 的超类（父类），也是抽象类，因此不能被调用和实例化，但可以被用来判断一个对象是否为 str 或者 unicode 的实例，isinstance(obj, basestring) 等价于 isinstance(obj, (str, unicode))
memoryview()       返回给定参数的内存查看对象(Momory view)
__import__()       用于动态加载类和函数
staticmethod()     返回函数的静态方法，一般前面加个@符号引用
classmethod()      修饰符对应的函数不需要实例化，不需要 self 参数，但第一个参数需要是表示自身类的 cls 参数，可以来调用类的属性，类的方法，实例化对象等
